Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
disPhiPie-R-G3I-Tree/30,2.3675332462069272e-2,2.3573012831632077e-2,2.3811370294536054e-2,3.3805926673064553e-4,2.241872718460103e-4,4.368275443390802e-4
disPhiPie-R-G3I-Tree/40,5.7907797596589226e-2,5.699914156465967e-2,5.884262806513432e-2,2.107935639445306e-3,1.6864699742892022e-3,2.566863999984102e-3
disPhiPie-R-G3I-Tree/50,0.10912946303925507,0.10812905460383528,0.11141382584832435,2.561738250876505e-3,1.1608300326514216e-3,4.157490604462462e-3
disPhiPie-R-G3I-Tree/60,0.18681596714419546,0.18443671548970186,0.190854092205469,4.837126354729321e-3,2.4838960179764096e-3,7.45049893480259e-3
disPhiPie-R-G3I-Tree/70,0.3032366873095116,0.30057662287905185,0.30778877538295074,5.080716442688152e-3,2.5114716936814295e-3,7.239221096146738e-3
disPhiPie-R-G3I-Tree/80,0.46061751218423724,0.4587282465618854,0.4651844166549078,3.6130291037638094e-3,1.2393027272446758e-3,5.250342915605376e-3
disPhiPie-R-G3I-Tree/90,0.6579997798602563,0.6518797576281941,0.6691784910246497,1.1965756528860111e-2,1.3057218754943273e-3,1.5791510829177857e-2
disPhiPie-R-G3I-Tree/100,0.923502929644504,0.917273601562556,0.9342333487493306,1.0241257030018021e-2,3.1403645036916575e-4,1.254743894256294e-2
disPie-L-G3C-Zip/10,1.8030340125115696e-5,1.798775644891194e-5,1.811675980648554e-5,2.2790145469937732e-7,1.4790506084126344e-7,3.328149234340583e-7
disPie-L-G3C-Zip/20,4.412380394569366e-5,4.404855118758399e-5,4.426418921119473e-5,3.8839992288949205e-7,2.3553881899553027e-7,6.631020434723896e-7
disPie-L-G3C-Zip/30,8.037937827046282e-5,8.02347530913373e-5,8.062197495204355e-5,6.655947103998669e-7,4.113970724715521e-7,1.1396383291647664e-6
disPie-L-G3C-Zip/40,1.2748473822257007e-4,1.269568061415433e-4,1.2832133261426123e-4,2.349843169639274e-6,1.7476198733847541e-6,3.3792258591758687e-6
disPie-L-G3C-Zip/50,1.8362835913428727e-4,1.8325059309258783e-4,1.8433747712566224e-4,2.0938283439104018e-6,1.4021778381385303e-6,3.3539629822421097e-6
disPie-L-G3C-Zip/60,2.512932487914807e-4,2.5008873880710196e-4,2.550658766304312e-4,7.360230845429908e-6,2.237387408244985e-6,1.58183238565814e-5
disPie-L-G3C-Zip/70,3.302824773041017e-4,3.2817108067470654e-4,3.365505824679111e-4,1.2602127325334999e-5,5.198171844917325e-6,2.4950061476426993e-5
disPie-L-G3C-Zip/80,4.146672299222644e-4,4.1381591222583604e-4,4.1622989336116115e-4,4.368962650235324e-6,2.8714286164876824e-6,6.490539472244037e-6
disPie-L-G3C-Zip/90,5.129461357860366e-4,5.117993643989306e-4,5.149368941144962e-4,5.749369253511548e-6,3.7519979211653436e-6,8.210241045889286e-6
disPie-L-G3C-Zip/100,6.186875823238559e-4,6.178422424699672e-4,6.200352970773108e-4,4.069944598577515e-6,2.8224139531522063e-6,6.563457570784426e-6
disPie-L-G3I-Zip/10,4.003327654628457e-4,3.9958921652141115e-4,4.014913131533827e-4,3.36168784392179e-6,2.3663576380794464e-6,5.149919141765632e-6
disPie-L-G3I-Zip/20,2.713388567356764e-3,2.7090558431648814e-3,2.72053988133463e-3,2.1122629577155337e-5,1.5371459987662857e-5,3.329303928893889e-5
disPie-L-G3I-Zip/30,8.878032259321014e-3,8.864456257787232e-3,8.898767769018327e-3,5.777094728901397e-5,3.913540118340728e-5,8.131159668696828e-5
disPie-L-G3I-Zip/40,2.0884057551099157e-2,2.0836312516285767e-2,2.097567146985439e-2,1.7610529962443322e-4,1.0170437135491522e-4,2.9259257372324274e-4
disPie-L-G3I-Zip/50,4.0882044468929776e-2,4.081185845325726e-2,4.1011797678145875e-2,2.060434983296758e-4,1.419678240547506e-4,3.247174913795688e-4
disPie-L-G3I-Zip/60,7.1066825598653e-2,7.096106174712523e-2,7.132631466630732e-2,3.3093309067257844e-4,1.2819505830531763e-4,5.959532572635341e-4
disPie-L-G3I-Zip/70,0.11419098841977454,0.1137815338121736,0.11513235131152123,1.1226284743242993e-3,4.22257091646158e-4,1.8969245238342554e-3
disPie-L-G3I-Zip/80,0.17155603105146824,0.1711427507442042,0.1720823358038563,8.173396497900461e-4,5.223463688972469e-4,1.2463869526937747e-3
disPie-L-G3I-Zip/90,0.24732755269125326,0.2454182235149303,0.250679492910465,3.810158056801274e-3,1.2623676934406499e-3,4.826843593181816e-3
disPie-L-G3I-Zip/100,0.3379928107548881,0.337281193281415,0.3391458600041414,1.2362178166058027e-3,7.330484426848346e-4,1.5927916709997905e-3
disPie-L-G3C-Tree/10,1.8959419959809274e-5,1.8914033404836743e-5,1.9041897658064904e-5,2.3276529209440196e-7,1.3931813835442924e-7,3.418662947969393e-7
disPie-L-G3C-Tree/20,4.658382837703817e-5,4.594716064591849e-5,4.8966431964578167e-5,3.7727759825871764e-6,6.30549069930324e-7,8.062716372856785e-6
disPie-L-G3C-Tree/30,8.286710739187838e-5,8.277788231516082e-5,8.30490924265933e-5,4.7482978827922864e-7,2.9571548225867605e-7,8.249356276929161e-7
disPie-L-G3C-Tree/40,1.3236590619583862e-4,1.3142113537618888e-4,1.3347070803856596e-4,4.167012916318541e-6,3.490119147919234e-6,5.447451622028674e-6
disPie-L-G3C-Tree/50,1.987237645349183e-4,1.9641747945528583e-4,2.0633443864320766e-4,1.4153529486712575e-5,5.94750260386491e-6,2.990707963245844e-5
disPie-L-G3C-Tree/60,2.737869916466114e-4,2.719157109909443e-4,2.7555839007128286e-4,7.014733465986567e-6,5.997631214147695e-6,8.769013032392367e-6
disPie-L-G3C-Tree/70,3.557024168175654e-4,3.547628455179489e-4,3.5692159151637473e-4,4.114962621621403e-6,3.572282605991495e-6,5.28874640664037e-6
disPie-L-G3C-Tree/80,4.5168537401773904e-4,4.504586721551855e-4,4.5285211695909205e-4,4.861680427798406e-6,4.436941561762956e-6,5.260868509781582e-6
disPie-L-G3C-Tree/90,5.58904413801676e-4,5.574840642784873e-4,5.600487615304429e-4,4.8807147893278906e-6,4.065890742077662e-6,5.635519446372617e-6
disPie-L-G3C-Tree/100,7.148834537513483e-4,6.737303687835077e-4,9.144695847448801e-4,2.978104837171556e-4,1.0207691544873536e-5,6.94645610483212e-4
disPie-L-G3I-Tree/10,3.9998646130068533e-4,3.994694049912026e-4,4.0176750256800954e-4,3.1838619063594264e-6,1.3459139616474777e-6,6.742221445048513e-6
disPie-L-G3I-Tree/20,2.714883727134065e-3,2.709405591235617e-3,2.7277970635849577e-3,2.9026160580102668e-5,1.8478508556614987e-5,5.547604561206261e-5
disPie-L-G3I-Tree/30,8.88531278943305e-3,8.86176556511252e-3,8.952172637548094e-3,1.1218983002301513e-4,4.115750972257978e-5,2.1806444949451883e-4
disPie-L-G3I-Tree/40,2.2305870141937214e-2,2.1958436160159255e-2,2.303992867543862e-2,1.3923660050079065e-3,7.133056109665626e-4,2.545711180514014e-3
disPie-L-G3I-Tree/50,4.353365441918011e-2,4.308013090209179e-2,4.3866050090707556e-2,9.313168152659118e-4,5.519559054356065e-4,1.4126469283272294e-3
disPie-L-G3I-Tree/60,7.097234911547143e-2,7.090010276906768e-2,7.106061625194607e-2,1.698829503967109e-4,1.2717940491014328e-4,2.1017324611756185e-4
disPie-L-G3I-Tree/70,0.11338233456834691,0.11324244622398967,0.11379838663049217,3.851912731411144e-4,1.6003563793601512e-4,6.443044577899487e-4
disPie-L-G3I-Tree/80,0.17533488454256532,0.17232023508006628,0.17933075837807136,5.729726898204341e-3,4.70120922273636e-3,7.2112366259193365e-3
disPie-L-G3I-Tree/90,0.2625741028181351,0.2608355540695421,0.26387499109405327,2.425466874692295e-3,1.3214603516439908e-3,3.1488359632765423e-3
disPie-L-G3I-Tree/100,0.3535340264189676,0.3448862641674162,0.36091796439047485,1.1750414547309854e-2,8.575632746189537e-3,1.4732715559202686e-2
disPie-R-G3C-Zip/10,2.04805255351304e-5,2.037943386496946e-5,2.061316833956804e-5,4.508559277413026e-7,3.682197602171164e-7,5.514261409884894e-7
disPie-R-G3C-Zip/20,5.3401822670562416e-5,5.281432689017681e-5,5.569531065777019e-5,4.0206574007918826e-6,3.6882927474126083e-7,8.630817720254924e-6
disPie-R-G3C-Zip/30,1.0047747393910963e-4,1.0013026168061391e-4,1.0105074771914401e-4,1.6845129873488142e-6,1.2564762822944296e-6,2.3040095712855937e-6
disPie-R-G3C-Zip/40,1.6082491825477048e-4,1.605843326710286e-4,1.6147742119747925e-4,1.3742765587232315e-6,6.931617983491233e-7,2.63647021731028e-6
disPie-R-G3C-Zip/50,2.3686421902075928e-4,2.36460458666518e-4,2.3766896801259962e-4,2.1640403898542618e-6,1.209227738669928e-6,3.5021023220602673e-6
disPie-R-G3C-Zip/60,3.259686998437975e-4,3.254773054304022e-4,3.2668977093859163e-4,2.2219104280452637e-6,1.5145517728190837e-6,2.9936430428235906e-6
disPie-R-G3C-Zip/70,4.3939469556394104e-4,4.3371388667934774e-4,4.5268261980675604e-4,3.223923140665582e-5,1.230902079256562e-5,5.8886652538326926e-5
disPie-R-G3C-Zip/80,5.501444135220016e-4,5.474248890114812e-4,5.545794099231689e-4,1.3553406078214375e-5,9.68290813105355e-6,2.061251612671311e-5
disPie-R-G3C-Zip/90,6.800541684842406e-4,6.78584908729386e-4,6.823615094163491e-4,7.384115836669314e-6,4.7325457433910146e-6,1.0532792200971845e-5
disPie-R-G3C-Zip/100,8.513646007247006e-4,8.271231022483407e-4,9.713648994034536e-4,1.7722946415054438e-4,7.865796926717942e-6,4.142711706907426e-4
disPie-R-G3I-Zip/10,7.627518018513416e-4,7.617911320133368e-4,7.651705558773011e-4,5.414642664329193e-6,2.7432636224396986e-6,9.098199461506124e-6
disPie-R-G3I-Zip/20,6.589004377045305e-3,6.5740108266486436e-3,6.611412792886525e-3,6.23666890235979e-5,4.445965248996164e-5,9.292976787842845e-5
disPie-R-G3I-Zip/30,2.3299200516692018e-2,2.3143868322418597e-2,2.3764024097745275e-2,6.361825190484277e-4,2.8216520450368007e-4,1.2834114865351194e-3
