Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
conBot-R-GL-GenZ/60,3.6695120031985142e-6,3.6389406605117715e-6,3.738772743262584e-6,1.5576782880305244e-7,8.480175385993842e-8,3.0933126335608916e-7
conBot-R-GL-GenZ/70,3.995678256984721e-6,3.982826556317418e-6,4.013031218968318e-6,5.7315130814863605e-8,4.284363231696337e-8,7.637715334477797e-8
conBot-R-GL-GenZ/80,4.487012396541384e-6,4.467381226530946e-6,4.5173773269879e-6,9.375388286640557e-8,6.773282106666734e-8,1.342461622071511e-7
conBot-R-GL-GenZ/90,5.028519075005649e-6,5.002508735475719e-6,5.062661080014072e-6,1.1241808344762993e-7,8.864325106133346e-8,1.4015593845940424e-7
conBot-R-GL-GenZ/100,5.716007403027639e-6,5.649312954208058e-6,5.793485613679673e-6,2.885349140952126e-7,2.50762772871266e-7,3.2927696426974933e-7
conBot-R-GL-GenT/10,2.8731199463931886e-5,2.84919065629186e-5,2.9335601926686604e-5,1.419144265595757e-6,6.956546454740426e-7,2.905946070410051e-6
conBot-R-GL-GenT/20,1.3515174811350349e-4,1.343752731964436e-4,1.3609544688655972e-4,3.4304620877234367e-6,2.744563728457918e-6,4.163848463107175e-6
conBot-R-GL-GenT/30,3.8060494116837944e-4,3.7856783093282744e-4,3.827730478472916e-4,8.552522382145411e-6,7.50526490135843e-6,9.879252109705926e-6
conBot-R-GL-GenT/40,8.2083762928245e-4,8.163545056552808e-4,8.274890335072043e-4,1.988900976633745e-5,1.5914024212899745e-5,2.8316259298790455e-5
conBot-R-GL-GenT/50,1.5486724115780595e-3,1.5117925845824472e-3,1.6352264484937827e-3,1.963054979896117e-4,2.5656307395997206e-5,3.5220654641314204e-4
conBot-R-GL-GenT/60,2.5288605521653165e-3,2.5105477644712083e-3,2.5519291841028095e-3,7.622358198871023e-5,6.378542075715939e-5,9.85160446111365e-5
conBot-R-GL-GenT/70,3.882889061456487e-3,3.861280874364164e-3,3.9283196708690266e-3,1.0608253799073294e-4,5.904916196400633e-5,1.9532217564074492e-4
conBot-R-GL-GenT/80,5.432854563067462e-3,5.408027078914126e-3,5.46138334491318e-3,9.413610290263896e-5,7.627797684852563e-5,1.3060671394884263e-4
conBot-R-GL-GenT/90,7.701021711201172e-3,7.652912789096633e-3,7.783062434352747e-3,2.1295078623350056e-4,1.4572577388694105e-4,3.506165202590006e-4
conBot-R-GL-GenT/100,1.0450625598052213e-2,1.0310975285134727e-2,1.0588583836008521e-2,4.513796368144614e-4,3.801051908252464e-4,5.423473463498329e-4
conBot-L-GL-GenZ/10,1.565384715142509e-5,1.5582029038461168e-5,1.5777186966521463e-5,3.518618563858491e-7,2.5247222160006984e-7,5.2933916645973e-7
conBot-L-GL-GenZ/20,7.370401554518937e-5,7.351706921146225e-5,7.408438097817487e-5,1.0010766874623744e-6,6.30516495167732e-7,1.7119969791745329e-6
conBot-L-GL-GenZ/30,2.0456759000185928e-4,2.0400045377844868e-4,2.0563750569746497e-4,2.9116888511147593e-6,1.8771041469062708e-6,4.62723739604884e-6
conBot-L-GL-GenZ/40,4.361818057802979e-4,4.349387013055254e-4,4.381664486456889e-4,6.215679618295213e-6,4.323485216415705e-6,9.18726037880137e-6
conBot-L-GL-GenZ/50,7.859379108332879e-4,7.830363758072489e-4,7.89762941118572e-4,1.224529905186401e-5,9.303622230086079e-6,1.668540964660014e-5
conBot-L-GL-GenZ/60,1.3180892038808028e-3,1.313502850352604e-3,1.326055879505556e-3,2.357344387099856e-5,1.6557106809974606e-5,3.74345226796115e-5
conBot-L-GL-GenZ/70,2.0354847202590175e-3,2.026240305327929e-3,2.049636630049484e-3,4.5114479222503255e-5,3.646320607876733e-5,5.748650259229929e-5
